Job Type,Job #0,Job #1,Job #2,Job #3,Job #4,Job #5,Job #6,Job #7,Avg. Elapsed Time,Elapsed Time Variance,Elapsed Time Range
TeraGen_0copy,218,213,195,188,174,209,241,239,209.62,22.02,67
TeraGen_1copy,154,242,208,203,234,174,191,205,201.38,27.1,88
TeraGen_3copy,240,181,219,230,270,210,224,203,222.12,24.73,89
pi_0copy,234,249,235,231,248,243,246,229,239.38,7.5,20
pi_1copy,220,190,192,212,224,224,197,205,208,13.14,34
pi_3copy,166,182,194,214,181,189,186,211,190.38,14.87,48
wc_0copy,141,180,182,176,175,182,167,164,170.88,12.89,41
wc_1copy,145,165,148,149,151,167,171,151,155.88,9.43,26
wc_3copy,149,160,144,162,156,154,154,146,153.12,5.99,18
TeraSort_0copy,297,296,273,254,250,268,340,312,273.75,24.05,72
TeraSort_1copy,270,297,254,288,263,297,248,242,269.88,20.48,55
TeraSort_3copy,228,246,246,219,219,241,205,233,229.63,13.74,18