Job arriving time,# of container,Job elapsed time,Job type,srpt_0copy,srpt_2copy,default capacity scheduler
0,1,80,1,75,,88
32,1,59,1,68,,119
52,1,45,1,54,,109
61,1,38,0,37,39,50
117,1,,2,257,267,248
117,1,44,1,50,,79
152,1,394,1,408,,413
197,1,41,1,60,,94
243,1,,2,356,302,294
305,1,667,0,629,679,649
305,1,55,0,50,60,52
320,1,,2,257,312,273
329,1,,2,261,255,249
338,1,41,0,38,44,38
365,1,607,1,556,,497
414,1,,2,343,293,262
414,1,45,1,63,,66
414,1,630,0,659,756,612
414,1,137,0,131,133,129
434,1,238,0,256,225,242
446,1,110,1,130,,168
449,1,412,1,430,,363
452,1,,2,259,339,311
455,1,181,0,194,175,170
466,1,43,1,102,,90
533,1,54,0,55,82,54
563,1,,2,304,227,258
608,1,,2,306,254,262
616,1,,2,272,288,259
616,1,44,0,44,42,40
665,1,40,0,37,39,38
681,1,,2,310,294,251
714,1,918,0,1176,935,888
826,1,40,1,80,,66
838,1,32,1,54,,53
878,1,27,1,44,,38
914,1,1276,1,1009,,1112
966,1,284,1,264,,327
992,1,92,0,94,142,112
995,1,96,1,118,,122
995,1,106,0,102,110,102
998,1,118,0,115,119,149
1015,1,,2,328,304,303
1064,1,479,1,430,,522
1064,1,246,1,249,,293
1064,1,653,0,205,243,220
1064,1,213,0,622,834,629
1064,1,41,0,43,41,45
1118,10,,2,339,314,316
1118,9,211,0,204,203,108
1167,1,45,1,85,,69
1188,1,,2,302,225,288
1233,1,45,1,73,,250
1262,1,,2,250,245,245
1262,1,414,0,395,389,422
1307,1,34,0,40,32,32
1314,1,,2,298,261,311
1380,1,49,1,64,,60
1418,1,,2,247,300,283
1418,1,32,1,59,,56
1420,1,,2,247,318,283