Job arriving time,# of container,Job elapsed time,Job type,srpt_2copy
0,9,80,1,37
256,8,59,1,26
356,5,45,1,26
401,5,38,0,34
625,4,,2,273
625,2,44,1,32
835,6,394,1,143
1195,8,41,1,22
1241,1,,2,292
1551,5,667,0,37181
1551,3,55,0,49
1581,2,,2,322
1635,6,,2,318
1662,3,41,0,44
1932,10,607,1,179
2177,5,,2,291
2177,2,45,1,37
2177,1,630,0,998
2177,7,137,0,195
2337,8,238,0,312
2385,4,110,1,72
2412,9,412,1,36307
2430,6,,2,327
2439,3,181,0,181
2472,3,43,1,89
2539,1,54,0,50
2719,6,,2,295
3124,9,,2,298
3156,4,,2,307
3156,6,44,0,39
3352,4,40,0,36
3368,1,,2,228
3500,4,918,0,946
4284,7,40,1,32
4356,6,32,1,23
4756,10,27,1,16
4792,1,1276,1,2655
5000,4,284,1,163
5026,1,92,0,92
5047,7,96,1,108
5047,7,106,0,109
5071,8,118,0,148
5156,5,,2,371
5450,6,479,1,287
5450,5,246,1,245
5450,4,653,0,862
5450,9,213,0,239
5450,6,41,0,61
5990,10,,2,355
5990,9,211,0,268
6431,9,45,1,23
6557,6,,2,325
6827,6,45,1,29
6943,4,,2,327
6943,4,414,0,422
6988,1,34,0,32
7051,9,,2,324
7579,8,49,1,23
7731,4,,2,264
7731,3,32,1,28
7749,9,,2,320
7984,5,42,0,37
8509,7,42,1,25
8565,8,111,0,134
8871,34,96,1,21
9161,5,,2,287
9249,2,25,1,29
9363,3,238,1,238
9453,10,219,1,92
9685,29,95,1,22
9849,2,39,1,34
10269,6,,2,347
10269,7,,2,337
10269,6,372,1,189
10364,1,315,1,775
10364,4,60,1,81
10364,3,46,1,89
10364,3,322,0,407
10568,4,319,0,302
10862,7,,2,332
11037,25,304,1,74
11541,9,2073,1,1055
11541,2,261,1,725
11541,10,212,0,271
11621,10,,2,421
11621,8,251,1,251
11621,36,2034,0,27073
11645,1,479,1,1031
11717,4,2473,1,1945
11717,2,716,1,1552
11717,8,51,0,26986
11766,1,,2,449
11766,20,2423,0,26895
11780,2,214,1,656
11806,2,36,1,157
11890,3,164,0,203
11902,2,161,1,529
11902,8,155,1,247
11977,3,32,1,120